,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
0,63492a0f-56d7-4c00-9ac1-d64fd5414029,0,Total:,All,0.0,1.28,0.0,86.33,479281013,1434011,6137417,3981,413763232,928024,59380364,0,0,0,0,0,787.4,59490,0,61487.3
1,40f44943-8413-4a31-a4df-deee8111f85f,0,World,All,0.0,1.28,0.0,86.33,479281013,1434011,6137417,3981,413763232,928024,59380364,0,0,0,0,0,787.4,59490,0,61487.0
2,be02608d-a52f-4586-ae9b-220dee7daaf1,1,USA,North America,24.4,1.23,292.38,78.38,81577789,11781,1002680,354,63940256,115862,16634853,977550253,334347663,4,333,0,2999.0,2621,2923754,243991.0
3,f6ecf8d7-5867-42dc-9290-24fda4cb14f0,2,India,Asia,3.07,1.2,55.98,98.75,43016372,0,516785,0,42478087,0,21500,785644225,1403383978,33,2716,2,368.0,8944,559821,30652.0
4,338a3103-483a-4292-9559-1aac2ed47a90,3,Brazil,South America,13.85,2.21,29.64,95.32,29802257,34576,658566,199,28407457,0,736234,63776166,215163281,7,327,3,3061.0,8318,296408,138510.0
5,911f9162-c39d-4e1c-9768-4d147cce2604,4,France,Europe,37.82,0.57,387.82,92.29,24779882,143571,141564,121,22870555,53554,1767763,254106036,65522434,3,463,0,2161.0,1564,3878153,378189.0
6,6b196012-2ecd-45e8-aac2-9379e5300894,5,UK,Europe,30.21,0.79,730.96,90.78,20691123,39925,164454,172,18783177,24952,1743492,500714605,68500576,3,417,0,2401.0,302,7309641,302058.0
7,4be614b7-9865-4e78-a841-7dca20abd314,6,Germany,Europe,23.76,0.64,124.28,77.52,20018465,276746,128757,300,15518700,189700,4371008,104701826,84245647,4,654,1,1528.0,2494,1242816,237620.0
8,8d1ed383-8d38-4bf0-9931-ed46922de1a4,7,Russia,Europe,12.13,2.07,187.21,93.4,17715390,25382,366618,398,16545758,61860,803014,273400000,146042306,8,398,1,2510.0,2300,1872060,121303.0
9,a30588f4-4e4b-4e3b-92b2-1baeb341682e,8,Turkey,Asia,17.2,0.66,177.12,97.62,14775634,15303,97666,68,14423782,18965,254186,152146925,85902862,6,880,1,1137.0,975,1771151,172004.0
10,55dd283b-20e8-49ac-96f9-774f05abdfa9,9,Italy,Europe,23.59,1.11,328.54,90.13,14229495,75616,158582,146,12824463,75604,1246450,198135632,60308605,4,380,0,2630.0,447,3285363,235945.0
11,63ceffad-0f5b-4c16-9ac6-9a3e037159ab,10,Spain,Europe,24.48,0.89,1006.79,93.92,11451676,24298,102392,113,10755608,16147,593676,471036328,46785988,4,457,0,2189.0,510,10067893,244767.0
12,bc4902f3-885b-4666-bbae-a159b53c831b,11,S. Korea,Asia,21.74,0.13,30.78,0.0,11162232,339396,14294,392,11147938,0,0,15804065,51345227,5,3592,3,278.0,1085,307800,217396.0
13,7b0615b0-8cf9-43f0-82a9-55f99f273ff2,12,Argentina,South America,19.66,1.42,76.75,97.87,9023812,2572,127846,66,8831906,4092,64060,35236575,45910441,5,359,1,2785.0,607,767507,196553.0
14,de1a2462-a817-4b62-839f-9c0f5f717eda,13,Vietnam,Asia,8.7,0.49,84.02,56.12,8599751,0,42145,0,4826024,0,3731582,83048614,98847807,11,2345,1,426.0,3650,840166,87000.0
15,7d4fc69a-8af7-4d94-8b6e-61be6d099a90,14,Netherlands,Europe,44.77,0.28,122.72,80.15,7700715,34989,21871,20,6171925,40554,1506919,21107399,17200213,2,786,1,1272.0,156,1227159,447710.0
16,fa5c2b0a-f283-406a-9d80-2ec4c1309a62,15,Iran,Asia,8.33,1.96,57.07,95.79,7147407,1530,139917,52,6846230,4127,161260,48991010,85845294,12,614,2,1630.0,1707,570690,83259.0
