,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
0,63492a0f-56d7-4c00-9ac1-d64fd5414029,0,Total:,All,0.0,1.28,0.0,86.31,480667175,1109354,6145172,2742,414844551,671624,59677452,0,0,0,0,0,788.4,59599,0,61665.1
1,40f44943-8413-4a31-a4df-deee8111f85f,0,World,All,0.0,1.28,0.0,86.31,480667175,1109354,6145172,2742,414844551,671624,59677452,0,0,0,0,0,788.4,59599,0,61665.0
2,be02608d-a52f-4586-ae9b-220dee7daaf1,1,USA,North America,24.41,1.23,292.52,78.52,81604870,3980,1003274,76,64072661,2498,16528935,978042543,334352957,4,333,0,3001.0,2515,2925180,244068.0
3,f6ecf8d7-5867-42dc-9290-24fda4cb14f0,2,India,Asia,3.07,1.21,55.98,98.75,43019270,1238,521034,149,42480436,0,17800,785644225,1403421018,33,2694,2,371.0,8944,559807,30653.0
4,338a3103-483a-4292-9559-1aac2ed47a90,3,Brazil,South America,13.86,2.21,29.64,95.31,29832179,29922,658762,136,28433713,0,739704,63776166,215167403,7,327,3,3062.0,8318,296403,138646.0
5,911f9162-c39d-4e1c-9768-4d147cce2604,4,France,Europe,38.03,0.57,387.81,91.96,24919399,139517,141631,67,22915762,45207,1862006,254106036,65522828,3,463,0,2162.0,1564,3878130,380316.0
6,6b196012-2ecd-45e8-aac2-9379e5300894,5,UK,Europe,30.21,0.79,730.95,90.78,20691123,0,164454,0,18783177,0,1743492,500714605,68501548,3,417,0,2401.0,302,7309537,302053.0
7,4be614b7-9865-4e78-a841-7dca20abd314,6,Germany,Europe,23.94,0.64,124.28,77.57,20170130,151665,128757,0,15646000,127300,4395373,104701826,84246377,4,654,1,1528.0,2494,1242805,239418.0
8,8d1ed383-8d38-4bf0-9931-ed46922de1a4,7,Russia,Europe,12.15,2.07,187.21,93.61,17739462,24072,367013,395,16606691,60933,765758,273400000,146042477,8,398,1,2513.0,2300,1872058,121468.0
9,a30588f4-4e4b-4e3b-92b2-1baeb341682e,8,Turkey,Asia,17.22,0.66,177.42,97.65,14789483,13849,97736,70,14441455,17673,250292,152414773,85905340,6,879,1,1138.0,975,1774218,172160.0
10,55dd283b-20e8-49ac-96f9-774f05abdfa9,9,Italy,Europe,23.72,1.11,329.37,90.12,14304111,73357,158700,118,12891028,66565,1254383,198639817,60308363,4,380,0,2631.0,452,3293736,237183.0
11,bc4902f3-885b-4666-bbae-a159b53c831b,10,S. Korea,Asia,22.39,0.13,30.78,0.0,11497711,335479,14617,323,11483094,0,0,15804065,51345347,4,3513,3,285.0,1164,307799,223929.0
12,63ceffad-0f5b-4c16-9ac6-9a3e037159ab,11,Spain,Europe,24.48,0.89,1006.79,93.92,11451676,0,102392,0,10755608,0,593676,471036328,46786038,4,457,0,2189.0,510,10067882,244767.0
13,7b0615b0-8cf9-43f0-82a9-55f99f273ff2,12,Argentina,South America,19.66,1.42,76.8,97.9,9025257,1445,127904,58,8835483,3577,61870,35259438,45911573,5,359,1,2786.0,603,767986,196579.0
14,de1a2462-a817-4b62-839f-9c0f5f717eda,13,Vietnam,Asia,8.86,0.48,84.01,57.09,8761252,0,42196,0,5001564,0,3717492,83048614,98850197,11,2343,1,427.0,3889,840146,88632.0
15,7d4fc69a-8af7-4d94-8b6e-61be6d099a90,14,Netherlands,Europe,44.93,0.28,122.72,80.39,7728860,28145,21891,20,6213082,41157,1493887,21107399,17200316,2,786,1,1273.0,156,1227152,449344.0
16,fa5c2b0a-f283-406a-9d80-2ec4c1309a62,15,Iran,Asia,8.33,1.96,57.07,95.83,7148789,1382,139971,54,6850525,4295,158293,48991010,85848232,12,613,2,1630.0,1672,570670,83272.0
17,905d7fab-0083-4209-8a10-61f8b3e74994,16,Japan,Asia,5.0,0.44,33.93,92.74,6287107,48228,27601,116,5830955,60806,428551,42683814,125808148,20,4558,3,219.0,707,339277,49974.0
18,f90f48b5-e45e-4039-b963-64af3ef07a1c,17,Colombia,South America,11.74,2.29,65.23,97.25,6083291,348,139558,14,5916253,290,27480,33803790,51818903,9,371,2,2693.0,342,652345,117395.0
