id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
"63492a0f-56d7-4c00-9ac1-d64fd5414029",0,Total:,All,0.0,1.28,0.0,86.36,481679927,811262,6147519,1969,415965349,644581,59567059,0,0,0,0,0,788.7,58821,0,61795
"40f44943-8413-4a31-a4df-deee8111f85f",0,World,All,0.0,1.28,0.0,86.36,481679927,811262,6147519,1969,415965349,644581,59567059,0,0,0,0,0,788.7,58821,0,61795
"be02608d-a52f-4586-ae9b-220dee7daaf1",1,USA,"North America",24.41,1.23,292.59,78.74,81617564,628,1003428,3,64268976,0,16345160,978293345,334358250,4,333,0,3001.0,2307,2925884,244102
"f6ecf8d7-5867-42dc-9290-24fda4cb14f0",2,India,Asia,3.07,1.21,56.07,98.75,43019453,0,521034,0,42482262,0,16157,786922965,1403458058,33,2694,2,371.0,8944,560703,30652
"338a3103-483a-4292-9559-1aac2ed47a90",3,Brazil,"South America",13.86,2.21,29.64,95.42,29832179,0,658812,0,28464436,0,708931,63776166,215171525,7,327,3,3062.0,8318,296397,138644
"911f9162-c39d-4e1c-9768-4d147cce2604",4,France,Europe,38.03,0.57,387.81,91.96,24919399,0,141631,0,22915695,0,1862073,254106036,65523221,3,463,0,2162.0,1564,3878107,380314
"6b196012-2ecd-45e8-aac2-9379e5300894",5,UK,Europe,30.2,0.79,730.94,90.78,20691123,0,164454,0,18783177,0,1743492,500714605,68502521,3,417,0,2401.0,302,7309433,302049
"4be614b7-9865-4e78-a841-7dca20abd314",6,Germany,Europe,24.03,0.64,124.28,77.64,20245069,74939,128944,187,15718500,72500,4397625,104701826,84247107,4,653,1,1531.0,2494,1242794,240306
"8d1ed383-8d38-4bf0-9931-ed46922de1a4",7,Russia,Europe,12.16,2.07,187.21,93.76,17762742,23280,367351,338,16654231,47540,741160,273400000,146042647,8,398,1,2515.0,2300,1872056,121627
"a30588f4-4e4b-4e3b-92b2-1baeb341682e",8,Turkey,Asia,17.22,0.66,177.42,97.65,14789483,0,97736,0,14441455,0,250292,152414773,85907818,6,879,1,1138.0,975,1774167,172155
"55dd283b-20e8-49ac-96f9-774f05abdfa9",9,Italy,Europe,23.82,1.11,330.01,90.1,14364723,59555,158782,82,12943050,52022,1262891,199024140,60308121,4,380,0,2633.0,464,3300122,238189
"bc4902f3-885b-4666-bbae-a159b53c831b",10,"S. Korea",Asia,23.01,0.13,30.78,0.0,11815841,318130,14899,282,11800942,0,0,15804065,51345468,4,3446,3,290.0,1216,307799,230124
"63ceffad-0f5b-4c16-9ac6-9a3e037159ab",11,Spain,Europe,24.48,0.89,1006.79,93.92,11451676,0,102392,0,10755608,0,593676,471036328,46786087,4,457,0,2189.0,510,10067872,244767
"7b0615b0-8cf9-43f0-82a9-55f99f273ff2",12,Argentina,"South America",19.66,1.42,76.8,97.9,9025257,0,127904,0,8835483,0,61870,35259438,45912705,5,359,1,2786.0,603,767967,196574
