Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered
0.0,1.28,86.36,481679927,811262,6147519,1969,415965349
0.0,1.28,86.36,481679927,811262,6147519,1969,415965349
24.41,1.23,78.74,81617564,628,1003428,3,64268976
3.07,1.21,98.75,43019453,0,521034,0,42482262
13.86,2.21,95.42,29832179,0,658812,0,28464436
38.03,0.57,91.96,24919399,0,141631,0,22915695
30.2,0.79,90.78,20691123,0,164454,0,18783177
24.03,0.64,77.64,20245069,74939,128944,187,15718500
12.16,2.07,93.76,17762742,23280,367351,338,16654231
17.22,0.66,97.65,14789483,0,97736,0,14441455
23.82,1.11,90.1,14364723,59555,158782,82,12943050
23.01,0.13,0.0,11815841,318130,14899,282,11800942
24.48,0.89,93.92,11451676,0,102392,0,10755608
19.66,1.42,97.9,9025257,0,127904,0,8835483
9.12,0.47,59.39,9011473,91916,42306,48,5351978
45.08,0.28,80.61,7753878,25013,21898,6,6250601
8.33,1.96,95.86,7151088,2299,140021,50,6854816
5.03,0.44,92.84,6334154,47338,27699,98,5880936
11.74,2.29,97.25,6083291,0,139558,0,5916253
2.15,2.58,95.26,5998953,3077,154670,100,5714662
15.73,1.93,88.91,5943227,3494,114828,7,5283971
4.3,5.71,87.56,5649977,2936,322735,101,4947014
11.44,2.18,0.0,4952913,0,107811,0,4845102
16.45,0.14,88.17,4279363,46502,5893,11,3773045
12.46,0.84,93.27,4122004,0,34751,0,3844766
41.37,0.27,97.62,3858314,10293,10483,23,3766357
35.26,1.04,97.17,3788063,3518,39541,8,3680931
32.39,0.81,92.5,3782085,0,30686,0,3498355
6.13,2.69,96.91,3712263,0,99965,0,3597725
40.66,0.42,87.95,3698511,0,15665,0,3252752
3.28,1.6,97.23,3676991,330,59015,131,3575141
10.5,5.98,0.0,3544862,0,212102,0,3332760
34.83,0.61,0.0,3534003,0,21545,0,3512458
5.03,0.7,92.16,3529085,25821,24802,84,3252350
17.78,1.63,84.97,3450094,7076,56381,83,2931593
8.98,1.09,94.94,3441488,2215,37424,4,3267279
38.84,0.4,80.16,3403549,0,13646,0,2728386
28.35,0.93,90.7,2930321,13429,27268,52,2657700
49.71,0.19,96.8,2896593,3195,5585,2,2803867
14.94,2.28,91.76,2840788,1939,64905,8,2606660
24.31,0.73,97.65,2481736,0,18155,0,2423315
5.55,1.08,98.34,2317977,230,25150,1,2279609
22.69,0.8,97.36,1969044,1273,15758,12,1917068
1.16,1.49,96.23,1951282,43,29118,0,1877804
19.12,2.46,92.06,1839358,0,45258,0,1693393
16.28,0.83,98.79,1689314,0,14003,0,1668852
30.88,1.14,92.08,1687425,5560,19270,19,1553860
41.41,1.01,98.3,1646316,357,16708,4,1618403
0.67,1.99,97.47,1523900,310,30345,5,1485316
28.27,0.47,90.34,1422945,0,6710,0,1285502
25.42,0.17,0.0,1396911,0,2339,0,1394572
6.81,1.05,98.62,1305040,23,13658,0,1287000
3.09,1.38,98.57,1162974,51,16057,0,1146288
16.52,3.21,80.07,1133102,0,36429,0,907251
14.84,0.64,0.0,1128507,8037,7252,151,1121255
26.94,1.42,97.65,1094059,961,15520,11,1068334
16.1,0.94,96.25,1090498,0,10278,0,1049584
9.61,0.78,98.86,1087183,822,8509,0,1074743
18.0,0.12,94.59,1067157,0,1246,0,1009408
8.59,2.72,0.0,1033731,0,28165,0,1005566
38.21,0.87,92.51,1015010,1994,8818,1,939006
3.26,1.22,98.62,978332,15,11951,0,964823
10.16,0.71,96.8,959276,784,6785,7,928536
46.01,0.68,95.28,956742,1250,6475,4,911616
7.54,2.38,92.06,901292,184,21487,0,829710
8.81,0.26,96.9,889797,0,2302,0,862229
25.28,0.81,98.22,883354,0,7150,0,867607
4.73,4.13,0.0,857299,0,35418,0,821881
15.2,0.35,5.45,844713,0,2985,0,46000
16.13,0.99,94.95,834726,0,8266,0,792603
4.45,2.1,96.26,823145,0,17274,0,792328
7.69,1.22,98.73,791695,0,9679,0,781641
42.73,0.71,93.21,790620,1137,5575,3,736915
17.22,1.07,98.58,763280,0,8163,0,752440
2.1,1.2,97.74,750356,98,9039,1,733365
3.06,2.49,96.4,660890,93,16459,5,637119
8.89,2.88,96.39,647836,0,18663,0,624457
14.34,0.41,99.24,628130,0,2553,0,623331
1.11,3.18,93.04,610858,130,19430,1,568349
11.95,0.04,80.81,597745,10278,223,6,483011
10.95,0.92,98.84,580873,0,5345,0,574144
5.24,0.76,99.2,577841,0,4375,0,573202
41.54,0.44,85.52,551714,647,2439,3,471804
30.51,0.27,98.31,550362,0,1468,0,541056
1.84,1.09,98.55,520077,0,5677,0,512537
12.76,2.23,97.12,512602,216,11417,2,497832
7.13,1.28,97.55,501495,75,6404,7,489231
0.47,4.86,85.89,500889,0,24361,0,430198
0.39,1.6,92.25,469611,0,7492,0,433197
13.89,0.47,66.94,467982,25,2177,0,313256
14.21,2.04,97.0,422458,14,8610,2,409790
4.13,2.58,31.17,420621,0,10871,0,131100
33.54,0.23,30.33,410020,4314,932,0,124370
7.28,1.1,98.56,388086,47,4250,0,382483
11.55,4.19,51.28,374810,0,15702,0,192218
12.85,0.19,99.49,360868,164,677,0,359017
36.1,0.21,96.07,327189,0,702,0,314338
0.58,1.75,98.21,323374,9,5647,0,317590
1.64,1.25,98.49,316501,0,3966,0,311731
14.64,3.02,96.31,305066,188,9206,3,293819
9.52,1.28,98.54,273387,0,3491,0,269399
0.59,2.59,67.11,265629,8,6873,0,178251
10.85,0.99,98.29,263950,0,2619,0,259434
0.12,1.23,97.73,255296,0,3142,0,249495
1.61,2.21,96.29,245767,0,5437,0,236659
0.69,0.69,99.07,237641,52,1637,0,235430
37.05,1.16,98.56,232777,50,2698,0,229422
0.69,0.98,98.59,225239,2,2200,0,222063
32.35,0.49,91.17,208223,0,1025,0,189841
2.99,1.49,97.66,200879,11,2984,0,196170
51.7,0.05,42.43,178385,0,97,0,75685
0.44,4.32,90.47,177520,41,7662,2,160597
31.36,0.17,93.72,174658,0,297,0,163687
2.25,0.39,4.56,167993,1466,660,6,7660
0.34,2.19,61.13,163843,0,3595,0,100163
2.46,2.56,87.64,161052,0,4116,0,141145
0.5,0.9,99.06,160925,0,1445,0,159409
6.01,2.55,97.14,157576,0,4018,0,153069
37.73,0.64,0.07,141415,0,909,0,104
9.7,2.73,91.72,136561,0,3729,0,125249
0.79,2.25,97.01,135461,59,3054,0,131413
29.55,0.15,94.72,131403,792,202,0,124465
32.66,0.64,1.72,130705,0,843,0,2250
0.96,1.12,35.1,129708,0,1458,0,45522
4.31,2.24,62.82,128679,18,2879,4,80830
0.43,1.61,98.25,119544,0,1927,0,117455
0.29,1.92,97.91,99106,0,1900,0,97037
0.09,1.54,58.8,86611,0,1335,0,50930
0.49,2.29,97.67,85868,8,1964,0,83871
0.43,3.07,92.23,85608,0,2626,0,78960
0.3,0.97,99.0,81697,0,796,0,80876
13.29,1.67,62.38,79150,17,1324,0,49376
25.2,0.5,14.31,78649,0,394,0,11254
17.38,0.82,93.39,77102,353,631,1,72006
25.33,0.9,0.0,71868,0,646,0,71222
5.9,2.0,97.96,69664,1,1393,0,68243
37.33,0.23,90.38,65931,0,150,0,59589
7.09,1.3,97.17,64376,0,834,0,62557
0.22,2.16,92.61,64009,0,1384,0,59280
7.97,1.94,97.93,63232,0,1226,0,61921
0.14,7.92,0.0,61889,0,4901,0,56988
20.73,0.52,98.53,60167,0,310,0,59280
1.21,1.67,98.31,58666,0,982,0,57677
20.28,0.57,97.8,58393,0,330,0,57108
13.96,1.14,98.29,57231,0,654,0,56255
9.88,0.72,99.15,55947,0,401,0,55474
0.31,5.63,92.4,55650,0,3133,0,51423
2.05,0.64,99.33,47584,0,303,0,47263
0.45,1.54,96.08,41533,0,639,0,39905
24.34,0.66,98.1,40217,0,267,0,39453
40.23,0.41,98.94,39991,0,163,0,39566
51.26,0.39,97.88,39713,0,153,0,38871
0.31,0.1,2.01,38440,0,38,0,773
0.43,0.74,99.09,36917,6,272,0,36581
12.93,0.51,8.07,36745,0,187,0,2964
0.27,1.21,98.68,36459,0,440,0,35976
2.81,2.7,91.86,35850,0,968,0,32931
69.61,0.08,22.47,34237,0,28,0,7693
31.55,0.62,99.22,33929,0,212,0,33663
0.05,2.37,0.0,33797,0,800,0,32997
8.32,2.37,96.75,33249,0,788,0,32168
1.51,2.12,73.35,32880,0,697,0,24116
0.26,2.71,91.04,30511,0,827,0,27778
0.14,2.39,97.22,30470,0,727,0,29623
32.12,0.3,92.86,27566,0,82,0,25598
0.21,0.6,94.63,26952,0,163,0,25506
0.16,5.11,49.93,26400,0,1348,0,13182
3.19,0.04,87.7,25080,319,9,0,21995
0.42,1.6,83.86,24062,0,384,0,20178
12.39,1.59,98.26,22929,10,365,0,22529
1.68,0.57,99.37,22821,0,130,0,22678
0.1,3.75,87.91,22769,203,853,0,20016
0.1,1.83,98.11,20822,0,381,0,20429
30.73,0.12,41.51,20606,0,24,0,8553
0.27,1.21,23.01,18365,0,223,0,4225
0.18,0.71,99.29,17388,0,124,0,17264
0.15,0.8,78.6,17184,0,138,0,13507
49.3,0.61,96.02,16600,0,101,0,15940
42.01,0.52,94.92,16098,81,83,0,15280
1.07,1.15,98.68,15903,0,183,0,15693
1.54,1.21,98.77,15580,0,189,0,15388
43.95,0.75,97.15,14968,0,112,0,14541
0.29,0.77,46.82,14649,0,113,0,6859
12.33,1.56,98.03,13982,0,218,0,13707
19.96,1.03,96.73,12354,0,127,0,11950
0.47,3.05,96.7,11986,0,365,0,11591
21.02,0.18,23.06,11971,0,21,0,2761
0.04,18.15,75.68,11803,0,2142,0,8933
16.3,0.53,97.59,11787,0,63,0,11503
26.51,0.51,96.41,10530,0,54,0,10152
