Country,Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,NewRecovered,ActiveCases
USA,24.47,1.23,80.17,81831520,5149,1008181,22,80289,15217076
India,3.07,1.21,98.76,43028863,732,521388,14,0,13702
Brazil,13.94,2.2,95.88,29995638,0,660192,0,0,576770
France,39.68,0.55,89.97,25997852,102266,142506,31,18785,2464824
Germany,25.69,0.6,78.41,21646375,57761,130563,34,86500,4543112
Russia,12.25,2.07,94.79,17896866,16828,369708,304,35695,562131
Turkey,17.33,0.66,97.82,14894731,9021,98157,38,10312,226053
Italy,24.62,1.08,90.27,14845815,53588,159784,118,48486,1284016
Spain,24.69,0.89,94.52,11551574,0,102541,0,0,530130
Vietnam,9.93,0.43,79.32,9818328,50730,42600,37,74608,1987766
Argentina,19.69,1.42,98.08,9041124,484,128065,6,1490,45152
Netherlands,45.99,0.28,82.82,7910315,12387,22013,7,68297,1337113
Iran,8.35,1.96,96.08,7167646,1275,140315,38,4912,140389
Japan,5.29,0.42,92.65,6653841,47377,28248,48,42392,460801
Colombia,11.74,2.29,97.26,6085926,308,139660,10,383,27194
Indonesia,2.16,2.58,95.83,6019981,1933,155288,47,4067,95990
Poland,15.8,1.93,89.35,5969621,557,115345,2,1381,520718
Mexico,4.31,5.71,87.6,5665376,3303,323212,85,3035,379164
Ukraine,11.48,2.17,0.0,4968881,0,107980,0,0,0
Australia,17.99,0.14,89.1,4680816,47538,6384,17,43676,503939
Malaysia,12.83,0.83,94.63,4246467,12380,35099,30,20635,192947
Israel,42.28,0.27,97.56,3943153,8670,10530,15,11118,85701
Austria,42.74,0.41,91.89,3887355,13907,15985,28,35038,299140
Belgium,32.98,0.8,91.94,3851048,0,30826,0,7738,279469
Czechia,35.65,1.04,97.47,3830621,2589,39715,7,8247,57209
"South Africa",6.14,2.69,97.0,3722954,889,100050,4,1846,11781
Thailand,5.29,0.68,92.33,3711595,26840,25418,97,23412,259123
Philippines,3.28,1.61,97.41,3679629,690,59343,19,1790,35967
Portugal,35.53,0.6,0.0,3604114,0,21693,0,0,0
Peru,10.51,5.98,0.0,3548088,0,212299,0,0,0
Canada,9.13,1.08,94.19,3499226,3077,37690,10,1851,165583
Switzerland,39.83,0.39,81.65,3490876,0,13715,0,0,626757
Chile,17.97,1.63,88.65,3486653,4478,56750,61,23080,339158
Greece,29.78,0.9,91.34,3077711,10357,27684,61,26657,238759
Denmark,50.09,0.2,97.8,2919428,1955,5762,17,4713,58494
Romania,15.04,2.28,91.14,2860094,1429,65090,11,0,188344
Sweden,24.37,0.74,97.98,2487852,0,18331,0,2127,31975
Iraq,5.55,1.08,98.45,2320260,134,25173,3,708,10842
Serbia,22.83,0.8,97.53,1980722,993,15825,7,2440,33124
Bangladesh,1.16,1.49,96.5,1951770,56,29122,0,596,39138
Hungary,19.28,2.45,92.19,1854198,0,45510,0,0,99318
Slovakia,31.58,1.13,93.61,1725487,3258,19417,25,6809,90793
Jordan,16.27,0.83,98.79,1689314,0,14003,0,0,6459
Georgia,41.48,1.02,98.71,1649222,217,16756,5,592,4508
Pakistan,0.67,1.99,97.42,1525466,285,30361,1,117,8992
Ireland,29.1,0.46,89.02,1465150,0,6786,0,4043,154045
Norway,25.63,0.18,0.0,1408257,0,2518,0,0,0
Kazakhstan,6.81,1.05,98.83,1305188,18,13660,0,83,1563
Morocco,3.09,1.38,98.55,1163526,54,16060,0,38,762
Bulgaria,16.63,3.21,81.22,1140453,0,36565,0,0,177615
Singapore,18.71,0.11,92.93,1109744,3743,1276,4,0,77148
Croatia,27.15,1.41,97.77,1102730,809,15601,9,1557,8946
Lebanon,16.14,0.94,97.35,1092995,188,10315,3,0,18619
Cuba,9.66,0.78,98.89,1092547,695,8514,2,649,3659
Tunisia,8.61,2.73,0.0,1035884,0,28323,0,0,0
Lithuania,38.82,0.86,93.63,1030949,1475,8907,8,1213,56716
Nepal,3.26,1.22,98.69,978475,23,11951,0,66,899
Slovenia,46.83,0.67,95.56,973876,922,6501,3,1516,36787
Belarus,10.22,0.71,96.19,965322,645,6844,8,0,29942
Bolivia,7.55,2.43,93.25,902448,132,21896,1,1413,39019
Finland,16.01,0.36,5.17,889626,0,3178,0,0,840448
Uruguay,25.44,0.81,98.56,889132,0,7162,0,0,5601
Ecuador,4.75,4.12,0.0,859890,0,35421,0,0,0
"Costa Rica",16.22,0.99,97.18,839368,0,8308,0,0,15350
Guatemala,4.49,2.09,96.89,830745,0,17325,0,0,8470
Latvia,43.39,0.7,95.39,802534,533,5643,4,1903,31349
Azerbaijan,7.69,1.22,98.73,792061,42,9697,0,49,341
Panama,17.26,1.07,98.62,765054,0,8170,0,0,2414
"Saudi Arabia",2.1,1.2,97.87,751076,78,9048,1,285,6923
"New Zealand",13.86,0.05,86.23,693219,8845,350,20,10664,95078
"Sri Lanka",3.07,2.49,96.27,661991,106,16481,1,16,8218
Paraguay,8.9,2.89,96.35,648353,0,18731,0,0,4949
Kuwait,14.36,0.41,99.29,628978,0,2554,0,0,1886
"Dominican Republic",5.24,0.76,99.21,578130,0,4375,0,0,165
Estonia,42.07,0.44,87.06,558706,453,2468,2,1856,69813
Bahrain,30.78,0.26,98.61,555560,0,1471,0,0,6277
Venezuela,1.84,1.09,98.6,520708,0,5685,0,0,1591
Moldova,12.8,2.23,97.25,514199,185,11446,1,266,2671
Egypt,0.48,4.83,86.0,505264,0,24417,0,0,46344
Libya,7.13,1.28,97.67,501738,0,6419,0,0,5267
Ethiopia,0.39,1.6,95.26,469819,13,7504,0,1966,14773
Mongolia,13.9,0.46,66.85,468610,65,2177,0,0,153177
Cyprus,35.98,0.22,28.27,439964,2853,947,2,0,314647
Armenia,14.21,2.04,97.05,422574,11,8617,1,26,3851
Honduras,4.14,2.58,31.14,421062,0,10880,0,0,279082
Oman,7.28,1.09,98.66,388468,36,4251,1,307,971
Qatar,12.89,0.19,99.49,361819,152,677,0,117,1184
Réunion,37.17,0.21,95.72,336945,0,709,0,0,13717
Kenya,0.58,1.75,98.22,323454,4,5648,0,14,121
Zambia,1.64,1.25,98.53,317031,0,3967,0,0,701
"North Macedonia",14.72,3.01,96.34,306670,196,9228,2,23,1985
Botswana,12.55,0.88,99.0,305526,0,2686,0,0,364
Albania,9.53,1.28,98.54,273870,47,3492,0,34,516
Algeria,0.59,2.59,67.11,265691,7,6874,0,5,80512
Nigeria,0.12,1.23,97.71,255468,0,3142,0,0,2714
Zimbabwe,1.62,2.21,96.79,246481,0,5446,0,0,2454
